GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
t11,com.tripco.t11.server,Greeting,0,14,0,0,0,2,0,2,0,2
t11,com.tripco.t11.server,HTTP,115,0,0,0,23,0,2,0,2,0
t11,com.tripco.t11.server,MyServer,128,0,12,0,24,0,10,0,4,0
t11,com.tripco.t11.server,Config,0,210,0,0,0,14,0,2,0,2
t11,com.tripco.t11.server,MicroServer,115,65,0,0,27,17,9,1,9,1
t11,com.tripco.t11.planner,Option,0,38,0,0,0,15,0,3,0,3
t11,com.tripco.t11.planner,Place,0,52,0,0,0,12,0,2,0,2
t11,com.tripco.t11.planner,Plan,35,43,0,4,9,12,1,5,1,3
t11,com.tripco.t11.planner,SQLDatabase,195,270,5,33,45,46,5,22,2,6
t11,com.tripco.t11.planner,Opts,0,15,0,0,0,6,0,1,0,1
t11,com.tripco.t11.planner,Distance,0,29,0,0,0,7,0,3,0,3
t11,com.tripco.t11.planner,Optimization,0,850,2,64,0,145,2,43,0,12
t11,com.tripco.t11.planner,Match,37,0,0,0,10,0,2,0,2,0
t11,com.tripco.t11.planner,Trip,28,995,0,68,14,145,2,49,2,15
t11,com.tripco.t11.planner,Filter,0,12,0,0,0,5,0,2,0,2
t11,com.tripco.t11.planner,Search,28,46,0,0,5,11,1,2,1,2
t11,com.tripco.t11.planner,Calculate,51,0,0,0,12,0,2,0,2,0
